experiment_id,variant,polynomial_order,directional_accuracy,magnitude_mae,magnitude_rmse,favorable_excursion_mae,adverse_excursion_mae,persistence_error,half_life_error,dmo_stability,state_flip_count,perturbation_state_flip_count,parameter_drift_total,observation_count,fmo_capture_count,max_parameter,max_prediction,max_polynomial_term,max_interaction_term,condition_number,largest_column_scale,smallest_nonzero_column_scale,scale_ratio
A_n1,A,1,0.7049180327868853,1271909391.206709,17849462278.23282,0.9623778144962866,0.15536969185605573,1271302576.9078162,1271199130.228777,0.07027027027027027,65,14,5130.521075041877,925,165,5.0,701196202059.3761,140421043670.4378,0.0,9330073371022.156,140421043670.4378,0.009999999999990905,14042104367056.55
A_n2,A,2,0.8,1.9141996788574126e+20,3.050405434234175e+21,0.007243810807082364,0.4944187268818929,1.2761331442137996e+20,1.2761570295697537e+20,0.0681081081081081,63,14,11109.360642353242,925,165,5.0,9.846148624780116e+22,1.9718069505495e+22,0.0,1.3732301199871742e+26,1.9718069505495e+22,9.99999999998181e-05,1.9718069505530866e+26
A_n3,A,3,0.7049180327868853,1.4117743610156902e+31,2.5441330300463527e+32,0.9644508338078984,0.15540195043710128,1.4117743490281943e+31,1.4117743506640692e+31,0.07027027027027027,65,14,12734.31440827855,925,165,5.0,1.382589712519962e+34,2.7688318991278413e+33,0.0,1.3761151675374205e+40,2.7688318991278413e+33,9.999999999972714e-07,2.768831899135396e+39
B_n1,B,1,0.48633879781420764,356250710084.07544,598502358105.8317,156719133720.0727,316807792809.5094,286285644725.99365,286285595209.10486,0.9978378378378379,923,462,687456.740019389,925,165,5.0,1867267158114.2043,373965500093.44904,0.0,612150108238687.2,373965500093.44904,0.009999999999990905,37396550009378.914
B_n2,B,2,0.48633879781420764,1.110321922850515e+23,1.908010580771988e+23,4.859230563319654e+22,9.976020861323179e+22,8.923577415139208e+22,8.923577413739094e+22,0.9978378378378379,923,462,1610272.052725845,925,165,5.0,6.99210351733413e+23,1.3985019526014343e+23,0.0,2.2609891127800554e+29,1.3985019526014343e+23,9.99999999998181e-05,1.3985019526039782e+27
B_n3,B,3,0.48633879781420764,3.5040580389458575e+34,6.218723363773446e+34,1.5316511081393255e+34,3.1775494523611106e+34,2.8145414216786186e+34,2.8145414216786375e+34,0.9978378378378379,923,462,2475379.6390888393,925,165,5.0,2.614956796513491e+35,5.229914820862603e+34,0.0,3.004817112226222e+48,5.229914820862603e+34,9.999999999972714e-07,5.229914820876873e+40
C_n1,C,1,0.48633879781420764,356250710084.07544,598502358105.8317,156719133720.0727,316807792809.5094,286285644098.2666,286285406890.97345,0.9978378378378379,923,462,687444.6664558989,925,165,5.0,1867267158114.2043,373965500093.44904,0.0,612150108238687.2,373965500093.44904,0.009999999999990905,37396550009378.914
C_n2,C,2,0.48633879781420764,1.110321922850515e+23,1.908010580771988e+23,4.859230563319654e+22,9.976020861323179e+22,8.923577415124193e+22,8.923577409235004e+22,0.9978378378378379,923,462,1610272.0492109058,925,165,5.0,6.99210351733413e+23,1.3985019526014343e+23,0.0,2.2609891127800554e+29,1.3985019526014343e+23,9.99999999998181e-05,1.3985019526039782e+27
C_n3,C,3,0.48633879781420764,3.5040580389458575e+34,6.218723363773446e+34,1.5316511081393255e+34,3.1775494523611106e+34,2.814541421678619e+34,2.814541421678714e+34,0.9978378378378379,923,462,2475379.6390909324,925,165,5.0,2.614956796513491e+35,5.229914820862603e+34,0.0,3.004817112226222e+48,5.229914820862603e+34,9.999999999972714e-07,5.229914820876873e+40
D_n1,D,1,0.492896174863388,150541261433718.6,2313532273613595.5,149297547586.37207,335238113651.46954,127395826595419.47,127393461015907.97,0.9956756756756757,921,461,843409.6062727235,925,165,5.0,9.859105915693085e+16,1.971806930226899e+16,1.971806930226899e+16,2.9445011748966886e+18,1.971806930226899e+16,0.009999999999990905,1.9718069302286925e+18
