experiment_id,scenario,sequence,model_time,polynomial_order,output_channel,input_feature,value,parameter_state,gradient_state,perturbation_state,half_life_state,flags
A_n1,quiet_market,1,1.002,0,persistence,bias,0.0,0.006,-0.2,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
A_n2,quiet_market,1,1.002,0,persistence,bias,0.0,0.006,-0.2,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
A_n3,quiet_market,1,1.002,0,persistence,bias,0.0,0.006,-0.2,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
B_n1,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
B_n2,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
B_n3,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
C_n1,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
C_n2,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
C_n3,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
D_n1,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
D_n2,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
D_n3,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,30.0,gradient_gt_10x_median|gradient_gt_100x_median
E_n1,quiet_market,1,1.002,1,strength,volume_density,0.0,5.0,-405738149.0637277,0.2,25.8,gradient_gt_10x_median|gradient_gt_100x_median
E_n2,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,25.8,gradient_gt_10x_median|gradient_gt_100x_median
E_n3,quiet_market,1,1.002,2,strength,volume_density^2,0.0,5.0,-4.1155861401414925e+17,0.2,25.8,gradient_gt_10x_median|gradient_gt_100x_median
