experiment_id,interaction_term,min,max,mean,std,p95,p99,abs_max
ALL,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,20280080086694.69,511968055014905.7,8.213061676434269e-07,7.142200309099412e-06,1.971806930226899e+16
ALL,price_velocity_x_acceleration^2,0.0,3.888022570090828e+32,2.6252257100406828e+29,8.486452610208154e+30,1.0070371784490214e-12,1.5256735183442103e-10,3.888022570090828e+32
ALL,price_velocity_x_acceleration^3,-0.27187913618263254,7.666429848583695e+48,4.1086025860999365e+45,1.60880098093815e+47,5.532620908938184e-19,3.6433096034587973e-16,7.666429848583695e+48
ALL,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-241.9961670491515,6051.374903387518,0.0015037754683593961,0.002280727515719847,244687.5835698596
ALL,relative_volume_x_price_velocity^2,0.0,59872013553.25702,36677700.366214775,1288121679.7891777,2.5988951994809227e-06,5.827374979411073e-06,59872013553.25702
ALL,relative_volume_x_price_velocity^3,-1.4649938319808342e+16,661943875.7599492,-7372658062834.748,306928553093422.4,3.376643310460823e-09,1.1863701373808413e-08,1.4649938319808342e+16
ALL,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-21282807.109667573,1315047188.257527,381360917.10560966,714277611.4303367,46222874816.639786
ALL,volume_density_x_price_displacement^2,0.0,2.1365541563147525e+21,1.7298020652224955e+18,4.9262479254030524e+19,1.6459622236794854e+17,5.828941816123899e+17,2.1365541563147525e+21
ALL,volume_density_x_price_displacement^3,-9.875767530630823e+31,8.084598894136955e+26,-6.139217753777926e+28,2.1192376182601812e+30,5.53699943666556e+25,3.644190846914984e+26,9.875767530630823e+31
ALL,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,2.016132460527974e-05,0.0037119575987272905,0.0010092400795531028,0.0014321475468500784,0.14166799310702044
ALL,volume_log_x_price_displacement^2,0.0,0.02006982027097079,1.3779035693759112e-05,0.0004394827667077912,1.1672788131421884e-06,2.2681843507208864e-06,0.02006982027097079
ALL,volume_log_x_price_displacement^3,-0.002843251159807029,1.243252500935419e-05,-1.508356602214371e-06,5.994384583936587e-05,1.0272233271075513e-09,2.937401350863131e-09,0.002843251159807029
A_n1,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,price_velocity_x_acceleration^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,relative_volume_x_price_velocity^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,volume_density_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,volume_log_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,price_velocity_x_acceleration^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,price_velocity_x_acceleration^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,relative_volume_x_price_velocity^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,relative_volume_x_price_velocity^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_density_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_density_x_price_displacement^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
