experiment_id,total_parameter_drift,mean_drift_per_update,median_drift,max_drift,drift_per_observation,drift_degree_1,drift_degree_2,drift_degree_3,drift_interaction
A_n1,5130.521075041877,0.03466568293947214,0.0,10.0,5.546509270315543,4086.419239474482,0.0,0.0,0.0
A_n2,11109.360642353242,0.03874232133340277,0.0,10.0,12.010119613354856,3568.1599205707944,5731.776302376266,0.0,0.0
A_n3,12734.31440827855,0.029927883450713396,0.0,10.0,13.76682638732816,5279.39199819556,1257.6907856061143,5152.104114307425,0.0
B_n1,687456.740019389,4.6449779731039795,1.2062934665383303,10.0,743.1964756966368,595125.5381512905,0.0,0.0,0.0
B_n2,1610272.052725845,5.615595650308091,10.0,10.0,1740.8346515955081,783823.7817047276,734110.9443265237,0.0,0.0
B_n3,2475379.6390888393,5.81757847024404,10.0,10.0,2676.0860963122586,785155.4606693503,901209.6209761385,696677.2307487567,0.0
C_n1,687444.6664558989,4.64489639497229,1.2062879754741287,10.0,743.1834231955664,595113.4645878004,0.0,0.0,0.0
C_n2,1610272.0492109058,5.615595638050237,10.0,10.0,1740.8346477955738,783823.7807472096,734110.9417691024,0.0,0.0
C_n3,2475379.6390909324,5.81757847024896,10.0,10.0,2676.0860963145215,785155.4606693503,901209.6209776965,696677.2307492917,0.0
D_n1,843409.6062727235,5.698713555896781,10.0,10.0,911.7941689434849,751278.4044040496,0.0,0.0,156943.33699738304
D_n2,2085996.2082177368,7.274616244874409,10.0,10.0,2255.1310359110666,1023722.2296332264,970436.6518899166,0.0,480493.15235129884
D_n3,3237741.3957958114,7.609262974843271,10.0,10.0,3500.260968427904,1043649.841209073,1203911.3575737085,897942.8703184363,763561.6232773225
E_n1,843440.7063736242,5.698923691713676,10.0,10.0,911.8277906741882,751310.2621849503,0.0,0.0,156951.28568697209
E_n2,2085995.3481641363,7.274613245559324,10.0,10.0,2255.1301061233908,1023722.2043044178,970436.5748451245,0.0,480493.1545364212
E_n3,3237739.9730756246,7.609259631200057,10.0,10.0,3500.2594303520264,1043649.8144257279,1203911.2767502242,897942.3128850786,763561.623277904
