experiment_id,scenario,directional_accuracy,positive,negative,neutral,count
A_n1,quiet_market,0.43037974683544306,42,37,0,79
A_n1,volume_shock,0.4430379746835443,35,44,0,79
A_n1,price_volume_confirmation,0.07865168539325842,89,0,0,89
A_n1,price_volume_divergence,0.9775280898876404,89,0,0,89
A_n1,perturbation_memory_reset,0.6767676767676768,69,30,0,99
A_n1,reinforcement_extends_half_life,0.9797979797979798,99,0,0,99
A_n1,reversal_after_persistence,0.773109243697479,69,50,0,119
A_n1,high_volume_low_displacement,0.6404494382022472,57,32,0,89
A_n1,low_volume_high_displacement,0.9775280898876404,89,0,0,89
A_n1,irregular_event_time_sampling,0.9761904761904762,84,0,0,84
A_n2,quiet_market,0.43037974683544306,42,37,0,79
A_n2,volume_shock,0.45569620253164556,35,44,0,79
A_n2,price_volume_confirmation,0.9887640449438202,89,0,0,89
A_n2,price_volume_divergence,0.9887640449438202,89,0,0,89
A_n2,perturbation_memory_reset,0.6868686868686869,69,30,0,99
A_n2,reinforcement_extends_half_life,0.98989898989899,99,0,0,99
A_n2,reversal_after_persistence,0.7815126050420168,69,50,0,119
A_n2,high_volume_low_displacement,0.6292134831460674,57,32,0,89
A_n2,low_volume_high_displacement,0.9887640449438202,89,0,0,89
A_n2,irregular_event_time_sampling,0.9880952380952381,84,0,0,84
A_n3,quiet_market,0.43037974683544306,42,37,0,79
A_n3,volume_shock,0.4430379746835443,35,44,0,79
A_n3,price_volume_confirmation,0.07865168539325842,89,0,0,89
A_n3,price_volume_divergence,0.9775280898876404,89,0,0,89
A_n3,perturbation_memory_reset,0.6767676767676768,69,30,0,99
A_n3,reinforcement_extends_half_life,0.9797979797979798,99,0,0,99
A_n3,reversal_after_persistence,0.773109243697479,69,50,0,119
A_n3,high_volume_low_displacement,0.6404494382022472,57,32,0,89
A_n3,low_volume_high_displacement,0.9775280898876404,89,0,0,89
A_n3,irregular_event_time_sampling,0.9761904761904762,84,0,0,84
B_n1,quiet_market,0.4430379746835443,42,37,0,79
B_n1,volume_shock,0.43037974683544306,35,44,0,79
B_n1,price_volume_confirmation,0.5056179775280899,89,0,0,89
B_n1,price_volume_divergence,0.5056179775280899,89,0,0,89
B_n1,perturbation_memory_reset,0.46464646464646464,69,30,0,99
B_n1,reinforcement_extends_half_life,0.5050505050505051,99,0,0,99
B_n1,reversal_after_persistence,0.5042016806722689,69,50,0,119
B_n1,high_volume_low_displacement,0.48314606741573035,57,32,0,89
B_n1,low_volume_high_displacement,0.5056179775280899,89,0,0,89
B_n1,irregular_event_time_sampling,0.5,84,0,0,84
B_n2,quiet_market,0.4430379746835443,42,37,0,79
B_n2,volume_shock,0.43037974683544306,35,44,0,79
B_n2,price_volume_confirmation,0.5056179775280899,89,0,0,89
B_n2,price_volume_divergence,0.5056179775280899,89,0,0,89
B_n2,perturbation_memory_reset,0.46464646464646464,69,30,0,99
B_n2,reinforcement_extends_half_life,0.5050505050505051,99,0,0,99
B_n2,reversal_after_persistence,0.5042016806722689,69,50,0,119
B_n2,high_volume_low_displacement,0.48314606741573035,57,32,0,89
B_n2,low_volume_high_displacement,0.5056179775280899,89,0,0,89
B_n2,irregular_event_time_sampling,0.5,84,0,0,84
B_n3,quiet_market,0.4430379746835443,42,37,0,79
B_n3,volume_shock,0.43037974683544306,35,44,0,79
B_n3,price_volume_confirmation,0.5056179775280899,89,0,0,89
B_n3,price_volume_divergence,0.5056179775280899,89,0,0,89
B_n3,perturbation_memory_reset,0.46464646464646464,69,30,0,99
B_n3,reinforcement_extends_half_life,0.5050505050505051,99,0,0,99
B_n3,reversal_after_persistence,0.5042016806722689,69,50,0,119
B_n3,high_volume_low_displacement,0.48314606741573035,57,32,0,89
B_n3,low_volume_high_displacement,0.5056179775280899,89,0,0,89
B_n3,irregular_event_time_sampling,0.5,84,0,0,84
C_n1,quiet_market,0.4430379746835443,42,37,0,79
C_n1,volume_shock,0.43037974683544306,35,44,0,79
C_n1,price_volume_confirmation,0.5056179775280899,89,0,0,89
C_n1,price_volume_divergence,0.5056179775280899,89,0,0,89
C_n1,perturbation_memory_reset,0.46464646464646464,69,30,0,99
C_n1,reinforcement_extends_half_life,0.5050505050505051,99,0,0,99
C_n1,reversal_after_persistence,0.5042016806722689,69,50,0,119
C_n1,high_volume_low_displacement,0.48314606741573035,57,32,0,89
C_n1,low_volume_high_displacement,0.5056179775280899,89,0,0,89
